event_id,user_id,event_type,event_timestamp,page_url,session_id,browser,os,device_type,country,city,page_views,time_spent,is_conversion
06a1a220-50e4-4673-bd46-11ac66c8b83f,amanda92,click,2023-02-22 22:16:51,/product/73,80e197a6-8609-4789-aefe-a5a75e2dd02e,Edge,MacOS,desktop,UK,Caroltown,5,17.46,True
f6e07d64-c8e0-45bd-abe7-72aa06ed1067,michaeloconnor,purchase,2023-12-04 12:40:03,/product/60,3ee6f93e-4bbd-40d9-87cf-930b083dbd58,Chrome,iOS,desktop,IN,South David,5,114.63,True
4427efbe-7a61-475e-b5d8-1a623193368f,stanleyjames,add_to_cart,2023-07-19 03:40:13,/product/4,cb00f70c-4491-484c-82dc-d7e83d362b07,Firefox,Android,mobile,IN,Faulknerborough,10,4.72,False
4f717ef1-344b-4352-af31-c6b1ea71d309,jonesmaria,click,2023-08-12 22:33:53,/product/65,3d7ea671-7924-4f56-85dc-ca2281f0e0d4,Firefox,iOS,tablet,AU,New Thomas,7,26.99,False
72992c98-6459-493a-9aa5-16ce9eb7eeff,martinezjoshua,page_view,2023-03-23 14:01:05,/product/86,20f68399-7141-457e-8915-500f2f679f22,Edge,iOS,tablet,UK,North Aaron,9,83.86,True
0988ae26-33d5-44cd-aa98-c3229f71588d,bennetttina,add_to_cart,2023-10-31 13:46:46,/product/1,8a9295f1-776e-4707-8b6f-836df21c4a32,Safari,Windows,desktop,CA,East Damonhaven,4,61.28,True
df97c19d-ae51-4ae2-a01f-fc5817868851,cantushane,add_to_cart,2023-03-27 23:36:37,/product/8,d011e937-e027-44d3-827a-616d8fe30064,Firefox,MacOS,mobile,UK,Riosside,19,60.93,False
3a5e79fc-bdcb-4abd-9936-c2755d743457,melissa37,purchase,2023-02-11 15:15:19,/product/98,11909c74-e297-4295-8cbc-8d00dd217ce6,Safari,iOS,tablet,UK,Port Dawntown,2,58.72,True
d178bf6a-406c-47d8-8ef4-0e641af3c058,pthomas,click,2023-08-05 06:35:47,/product/91,bd30b44a-f9ef-45b5-9204-349a9eb60df7,Safari,Windows,tablet,IN,Michaelbury,4,101.52,True
5dbee8b1-c68c-4e57-8f68-997dd342e675,cindybrown,click,2023-01-04 20:19:10,/product/43,d35364d2-a3f1-4b8c-9873-5ca2786cdec0,Chrome,Windows,desktop,IN,South David,15,100.26,False
346b7538-c5a6-4b04-a670-c82274e9512d,hancockmatthew,add_to_cart,2023-10-10 23:36:57,/product/74,ec0a41b9-5210-4550-9aab-20c172b7344f,Firefox,MacOS,tablet,CA,Riverastad,9,10.25,False
fcbe998a-2456-4fcc-9d0f-074e118a8f6a,lhughes,page_view,2023-08-21 04:37:25,/product/65,6245a9b8-82c3-4575-a0b5-dfe21a6a3082,Firefox,Android,desktop,CA,Lake Tanya,1,59.64,False
71776ad9-4f3f-4dc4-9982-fe90b385a67c,ykelly,click,2023-05-16 13:24:33,/product/81,4b258e62-e9b8-40e6-a71d-2e0cd5af1a0d,Firefox,MacOS,tablet,UK,Matthewburgh,17,73.4,True
72deefe0-7e7b-4d7e-83c0-27534c3a24c1,randy85,click,2023-11-23 14:27:41,/product/54,4168b49f-5e1b-4a10-97e5-55b299a7e1bb,Firefox,Android,tablet,CA,Colemouth,16,100.54,True
875d5fdd-685a-42a9-83d1-cd0cedc383e7,gregory09,click,2023-12-15 15:15:16,/product/75,c81dc2ee-7e03-4b39-9316-2861d54fe357,Firefox,iOS,mobile,AU,Lake Mary,8,87.58,False
d34295af-85aa-47fa-9ae5-77d2a2215723,alisonwagner,purchase,2023-11-29 03:23:46,/product/2,d0841112-a7a1-4d41-8d42-da81bb75065b,Edge,Android,tablet,UK,Lake Wesleyberg,15,88.51,False
a9de0fe0-43c1-4553-bd47-995245483b2d,torresbrandon,page_view,2023-01-26 20:34:54,/product/91,1eba06c4-1149-4800-ba2b-e736aad8b5b5,Safari,MacOS,tablet,IN,Rubenmouth,9,117.5,False
39dd12fa-425b-478f-b926-977ec72c8bd1,ibuchanan,purchase,2023-07-31 11:50:10,/product/2,bd065834-7c2f-412c-bd7f-9a7dabdf4ecc,Edge,Windows,mobile,IN,Rileybury,1,23.17,True
1651fb17-6ef2-4db8-93e1-dc08f369639b,jotorres,add_to_cart,2023-05-07 02:13:45,/product/17,f232845b-d7b8-4efa-a5e2-d097fbf893d2,Firefox,Windows,mobile,CA,Fordtown,4,39.98,True
40651ba2-054b-4e8d-9539-9445e21de529,laurenramos,add_to_cart,2023-09-18 04:35:42,/product/4,b5e7a386-2387-40d9-a74b-890cdd0a2a0b,Chrome,Windows,tablet,US,Fitzpatrickburgh,7,59.02,False
7d8e37ff-15bd-483d-b93f-76054b57b9c9,iortiz,click,2023-09-28 16:21:42,/product/97,c52ad403-e07b-496d-be32-d5df1c6a3998,Firefox,iOS,mobile,US,Harperstad,20,57.43,True
66804811-166d-44ea-866b-8800ec9fa4e8,rodriguezshannon,add_to_cart,2023-05-21 04:57:21,/product/67,dcf65185-652a-4e29-bff1-fb11c1074e4f,Firefox,iOS,tablet,CA,North Wendymouth,11,107.11,False
8d32cf2b-f2c5-4c59-a77d-e2a561873430,lauralane,click,2023-06-15 03:53:14,/product/54,4ccd5d09-7b58-4469-afde-f642051d81a5,Chrome,iOS,tablet,IN,Port Dianestad,5,65.4,True
4d4ca9ca-b5bf-42ae-bc6b-a7aab8cd169e,donaldmanning,add_to_cart,2023-04-03 19:04:45,/product/39,dcc4cc59-3df6-43e0-8dab-c1e087d28c73,Firefox,iOS,tablet,CA,Kurtshire,8,52.27,True
62a54b11-a401-498f-b992-db4c5add7459,jamie09,add_to_cart,2023-04-04 21:22:54,/product/28,c8e4d8e4-c5a3-4b1d-aed1-aee066c4babb,Edge,MacOS,tablet,IN,Rosemouth,16,50.14,True
3c5981b4-3bc2-4e18-8af3-9535c883bc89,wilsontaylor,click,2023-07-10 07:11:10,/product/33,34221f02-507f-4d80-8fde-b77719ca2dce,Edge,MacOS,tablet,AU,Kellerport,1,67.99,True
e4eed269-0973-4a0a-ad56-2df3814bbcc3,daniel00,page_view,2023-03-29 08:35:57,/product/42,d73d0016-6ff3-4be4-9ed8-447c91be3176,Safari,MacOS,tablet,US,Lake Susanchester,15,48.01,True
cb06d335-bb48-4347-8171-1a4fcff5d2db,morrowbrendan,click,2023-09-08 14:55:06,/product/38,435d3749-61ea-4351-87ca-e37e8d93c65c,Edge,MacOS,tablet,IN,Kimberlyside,3,117.51,False
7e93a9e2-47fd-4753-94d1-93e45def6cfd,derrick42,page_view,2023-12-30 00:00:55,/product/30,6eb9c493-ddaa-4285-9866-2dd78bf38c88,Safari,iOS,desktop,AU,Josephville,13,98.42,True
909b9354-fd24-4643-8dcb-2fcecf76c429,nicholasevans,click,2023-07-11 06:10:42,/product/66,de5828b5-4f5b-4e24-900e-ed2bc0c0fead,Edge,Android,tablet,US,South Paulhaven,19,66.05,True
8aa23bba-889a-494c-aecd-77527486764f,joneschristina,page_view,2023-05-18 23:06:09,/product/32,4ff36964-ecbe-4dcc-a6ce-d34bcaacee7d,Edge,MacOS,mobile,CA,Lake Paul,1,11.14,True
b6564be0-cb0b-4fb5-b22b-a2890a74263c,unelson,purchase,2023-03-02 20:48:18,/product/50,ee5a2e78-dc06-4299-95ea-5ca3b3bad3e6,Safari,iOS,tablet,AU,Port Sierraside,10,100.54,False
